rsi1,rsi2,rsi3,rsi4,rsi5,rsi6,stoch1,stoch2,stoch3,stoch4,stoch5,stoch6,ema20Slope1,ema20Slope2,ema20Slope3,ema20Slope4,ema20Slope5,ema20Slope6,ema50Slope1,ema50Slope2,ema50Slope3,ema50Slope4,ema50Slope5,ema50Slope6,ema100Slope1,ema100Slope2,ema100Slope3,ema100Slope4,ema100Slope5,ema100Slope6,ema200Slope1,ema200Slope2,ema200Slope3,ema200Slope4,ema200Slope5,ema200Slope6,std1,std2,std3,std4,std5,std6,mom1,mom2,mom3,mom4,mom5,mom6,BB_up_percen1,BB_up_percen2,BB_up_percen3,BB_up_percen4,BB_up_percen5,BB_up_percen6,cci1,cci2,cci3,cci4,cci5,cci6,force1,force2,force3,force4,force5,force6,macd1,macd2,macd3,macd4,macd5,macd6,bearsPower1,bearsPower2,bearsPower3,bearsPower4,bearsPower5,bearsPower6,bullsPower1,bullsPower2,bullsPower3,bullsPower4,bullsPower5,bullsPower6,WPR1,WPR2,WPR3,WPR4,WPR5,WPR6,close1,close2,close3,close4,close5,close6,hour,dayOfWeek,tipo
28.9,31.07,40.01,40.51,39.95,41.98,13.53,29.27,46.8,43.52,41.03,36.07,-0.0005,-0.00045,-0.00015,-0.00015,-0.00018,-0.00013,-0.00037,-0.00034,-0.00022,-0.00022,-0.00024,-0.00022,-0.0003,-0.00028,-0.00022,-0.00022,-0.00023,-0.00022,-1.3362,-0.00022,-0.00019,-0.00019,-0.00019,-0.00019,0.00189,0.00168,0.00158,0.00163,0.00166,0.00169,99.68,99.7,100.08,100.11,100.06,100.11,-0.1,-0.08,0.36,0.37,0.33,0.43,-225.44,-170.11,-33.39,-44.71,-33.96,-4.36,-1.58,-2.74,-0.31,0.55,0.16,0.17,-0.00187,-0.00164,-0.00142,-0.00146,-0.00151,-0.00154,-0.00385,-0.00412,-0.00119,-0.00242,-0.00121,-0.00089,-0.00277,0.00121,0.0013,0.00104,-0.00023,-0.00015,-100,-92.3,-74.34,-68.07,-65.93,-56.09,1.3132,1.3132,1.3132,1.3132,1.3132,1.3132,0,1,1
27.39,28.9,31.07,40.01,40.51,39.95,3.93,13.53,29.27,46.8,43.52,41.03,-0.00052,-0.0005,-0.00045,-0.00015,-0.00015,-0.00018,-0.00038,-0.00037,-0.00034,-0.00022,-0.00022,-0.00024,-0.00031,-0.0003,-0.00028,-0.00022,-0.00022,-0.00023,-1.33598,-0.00023,-0.00022,-0.00019,-0.00019,-0.00019,0.00217,0.00189,0.00168,0.00158,0.00163,0.00166,99.44,99.68,99.7,100.08,100.11,100.06,-0.07,-0.1,-0.08,0.36,0.37,0.33,-197.58,-225.44,-170.11,-33.39,-44.71,-33.96,-1.34,-1.58,-2.74,-0.31,0.55,0.16,-0.00208,-0.00187,-0.00164,-0.00142,-0.00146,-0.00151,-0.00407,-0.00385,-0.00412,-0.00119,-0.00242,-0.00121,-0.00298,-0.00277,0.00121,0.0013,0.00104,-0.00023,-98.76,-100,-92.3,-74.34,-68.07,-65.93,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,4,1,1
28.41,27.39,28.9,31.07,40.01,40.51,4.27,3.93,13.53,29.27,46.8,43.52,-0.00046,-0.00052,-0.0005,-0.00045,-0.00015,-0.00015,-0.00036,-0.00038,-0.00037,-0.00034,-0.00022,-0.00022,-0.0003,-0.00031,-0.0003,-0.00028,-0.00022,-0.00022,-1.33574,-0.00023,-0.00023,-0.00022,-0.00019,-0.00019,0.00242,0.00217,0.00189,0.00168,0.00158,0.00163,99.49,99.44,99.68,99.7,100.08,100.11,0.02,-0.07,-0.1,-0.08,0.36,0.37,-153.22,-197.58,-225.44,-170.11,-33.39,-44.71,-2.23,-1.34,-1.58,-2.74,-0.31,0.55,-0.00222,-0.00208,-0.00187,-0.00164,-0.00142,-0.00146,-0.00401,-0.00407,-0.00385,-0.00412,-0.00119,-0.00242,-0.00297,-0.00298,-0.00277,0.00121,0.0013,0.00104,-92.22,-98.76,-100,-92.3,-74.34,-68.07,1.3127,1.3127,1.3127,1.3127,1.3127,1.3127,8,1,1
34.48,28.41,27.39,28.9,31.07,40.01,12.99,4.27,3.93,13.53,29.27,46.8,-0.0003,-0.00046,-0.00052,-0.0005,-0.00045,-0.00015,-0.0003,-0.00036,-0.00038,-0.00037,-0.00034,-0.00022,-0.00027,-0.0003,-0.00031,-0.0003,-0.00028,-0.00022,-1.33551,-0.00023,-0.00023,-0.00023,-0.00022,-0.00019,0.00255,0.00242,0.00217,0.00189,0.00168,0.00158,99.42,99.49,99.44,99.68,99.7,100.08,0.17,0.02,-0.07,-0.1,-0.08,0.36,-94.61,-153.22,-197.58,-225.44,-170.11,-33.39,-4.6,-2.23,-1.34,-1.58,-2.74,-0.31,-0.0022,-0.00222,-0.00208,-0.00187,-0.00164,-0.00142,-0.00326,-0.00401,-0.00407,-0.00385,-0.00412,-0.00119,-0.00108,-0.00297,-0.00298,-0.00277,0.00121,0.0013,-80.81,-92.22,-98.76,-100,-92.3,-74.34,1.3138,1.3138,1.3138,1.3138,1.3138,1.3138,12,1,1
33.35,34.48,28.41,27.39,28.9,31.07,24.48,12.99,4.27,3.93,13.53,29.27,-0.00031,-0.0003,-0.00046,-0.00052,-0.0005,-0.00045,-0.0003,-0.0003,-0.00036,-0.00038,-0.00037,-0.00034,-0.00027,-0.00027,-0.0003,-0.00031,-0.0003,-0.00028,-1.3353,-0.00022,-0.00023,-0.00023,-0.00023,-0.00022,0.0027,0.00255,0.00242,0.00217,0.00189,0.00168,99.46,99.42,99.49,99.44,99.68,99.7,0.16,0.17,0.02,-0.07,-0.1,-0.08,-79.51,-94.61,-153.22,-197.58,-225.44,-170.11,-2.1,-4.6,-2.23,-1.34,-1.58,-2.74,-0.0022,-0.0022,-0.00222,-0.00208,-0.00187,-0.00164,-0.00216,-0.00326,-0.00401,-0.00407,-0.00385,-0.00412,-0.00121,-0.00108,-0.00297,-0.00298,-0.00277,0.00121,-85.04,-80.81,-92.22,-98.76,-100,-92.3,1.3134,1.3134,1.3134,1.3134,1.3134,1.3134,16,1,1
31.96,33.35,34.48,28.41,27.39,28.9,36.23,24.48,12.99,4.27,3.93,13.53,-0.00034,-0.00031,-0.0003,-0.00046,-0.00052,-0.0005,-0.00031,-0.0003,-0.0003,-0.00036,-0.00038,-0.00037,-0.00028,-0.00027,-0.00027,-0.0003,-0.00031,-0.0003,-1.33508,-0.00022,-0.00022,-0.00023,-0.00023,-0.00023,0.00285,0.0027,0.00255,0.00242,0.00217,0.00189,99.57,99.46,99.42,99.49,99.44,99.68,0.15,0.16,0.17,0.02,-0.07,-0.1,-79.74,-79.51,-94.61,-153.22,-197.58,-225.44,-1.04,-2.1,-4.6,-2.23,-1.34,-1.58,-0.00221,-0.0022,-0.0022,-0.00222,-0.00208,-0.00187,-0.00224,-0.00216,-0.00326,-0.00401,-0.00407,-0.00385,-0.00123,-0.00121,-0.00108,-0.00297,-0.00298,-0.00277,-87.18,-85.04,-80.81,-92.22,-98.76,-100,1.3129,1.3129,1.3129,1.3129,1.3129,1.3129,20,1,1
31.59,31.96,33.35,34.48,28.41,27.39,42.59,36.23,24.48,12.99,4.27,3.93,-0.00032,-0.00034,-0.00031,-0.0003,-0.00046,-0.00052,-0.00031,-0.00031,-0.0003,-0.0003,-0.00036,-0.00038,-0.00027,-0.00028,-0.00027,-0.00027,-0.0003,-0.00031,-1.33486,-0.00022,-0.00022,-0.00022,-0.00023,-0.00023,0.00299,0.00285,0.0027,0.00255,0.00242,0.00217,99.67,99.57,99.46,99.42,99.49,99.44,0.18,0.15,0.16,0.17,0.02,-0.07,-75.9,-79.74,-79.51,-94.61,-153.22,-197.58,-0.55,-1.04,-2.1,-4.6,-2.23,-1.34,-0.00221,-0.00221,-0.0022,-0.0022,-0.00222,-0.00208,-0.00197,-0.00224,-0.00216,-0.00326,-0.00401,-0.00407,-0.00157,-0.00123,-0.00121,-0.00108,-0.00297,-0.00298,-88.99,-87.18,-85.04,-80.81,-92.22,-98.76,1.3127,1.3127,1.3127,1.3127,1.3127,1.3127,0,2,1
29.34,31.59,31.96,33.35,34.48,28.41,25.31,42.59,36.23,24.48,12.99,4.27,-0.00037,-0.00032,-0.00034,-0.00031,-0.0003,-0.00046,-0.00033,-0.00031,-0.00031,-0.0003,-0.0003,-0.00036,-0.00028,-0.00027,-0.00028,-0.00027,-0.00027,-0.0003,-1.33464,-0.00022,-0.00022,-0.00022,-0.00022,-0.00023,0.00303,0.00299,0.00285,0.0027,0.00255,0.00242,99.55,99.67,99.57,99.46,99.42,99.49,0.14,0.18,0.15,0.16,0.17,0.02,-80.21,-75.9,-79.74,-79.51,-94.61,-153.22,-1.75,-0.55,-1.04,-2.1,-4.6,-2.23,-0.00225,-0.00221,-0.00221,-0.0022,-0.0022,-0.00222,-0.00256,-0.00197,-0.00224,-0.00216,-0.00326,-0.00401,-0.00095,-0.00157,-0.00123,-0.00121,-0.00108,-0.00297,-97.35,-88.99,-87.18,-85.04,-80.81,-92.22,1.3119,1.3119,1.3119,1.3119,1.3119,1.3119,4,2,1
30.66,29.34,31.59,31.96,33.35,34.48,21.31,25.31,42.59,36.23,24.48,12.99,-0.00031,-0.00037,-0.00032,-0.00034,-0.00031,-0.0003,-0.00031,-0.00033,-0.00031,-0.00031,-0.0003,-0.0003,-0.00027,-0.00028,-0.00027,-0.00028,-0.00027,-0.00027,-1.33441,-0.00023,-0.00022,-0.00022,-0.00022,-0.00022,0.00304,0.00303,0.00299,0.00285,0.0027,0.00255,99.52,99.55,99.67,99.57,99.46,99.42,0.2,0.14,0.18,0.15,0.16,0.17,-80.68,-80.21,-75.9,-79.74,-79.51,-94.61,-2.07,-1.75,-0.55,-1.04,-2.1,-4.6,-0.00224,-0.00225,-0.00221,-0.00221,-0.0022,-0.0022,-0.0025,-0.00256,-0.00197,-0.00224,-0.00216,-0.00326,-0.00145,-0.00095,-0.00157,-0.00123,-0.00121,-0.00108,-91.81,-97.35,-88.99,-87.18,-85.04,-80.81,1.3121,1.3121,1.3121,1.3121,1.3121,1.3121,8,2,1
36.37,28.16,30.66,29.34,31.59,31.96,29.81,12.9,21.31,25.31,42.59,36.23,-0.00021,-0.00037,-0.00031,-0.00037,-0.00032,-0.00034,-0.00026,-0.00033,-0.00031,-0.00033,-0.00031,-0.00031,-0.00025,-0.00029,-0.00027,-0.00028,-0.00027,-0.00028,-1.33396,-0.00023,-0.00022,-0.00023,-0.00022,-0.00022,0.00261,0.00286,0.00304,0.00303,0.00299,0.00285,99.62,99.46,99.52,99.55,99.67,99.57,0.28,0.14,0.2,0.14,0.18,0.15,-71.94,-78.51,-80.68,-80.21,-75.9,-79.74,-3.17,-5.25,-2.07,-1.75,-0.55,-1.04,-0.00218,-0.00228,-0.00224,-0.00225,-0.00221,-0.00221,-0.0024,-0.00255,-0.0025,-0.00256,-0.00197,-0.00224,-0.00066,0.00012,-0.00145,-0.00095,-0.00157,-0.00123,-82.02,-97.91,-91.81,-97.35,-88.99,-87.18,1.3125,1.3125,1.3125,1.3125,1.3125,1.3125,16,2,1
